Ex_mean Ex_std Ey_mean Ey_std lossx_mean lossx_std lossy_mean lossy_std
0.54294662 0.00728513 0.54060002 0.00793643 0.07737087 0.00074858 0.07992866 0.00092801
0.54722779 0.00853405 0.54173209 0.00884204 0.08449181 0.00097206 0.08155283 0.00080195
0.54275964 0.00887603 0.55623652 0.00804579 0.07883420 0.00124280 0.08016243 0.00073002
0.55172157 0.00651719 0.55351939 0.00682511 0.08026448 0.00079221 0.08326758 0.00098171
0.55070840 0.00740889 0.54633999 0.00724845 0.08277496 0.00109184 0.08294142 0.00089872
0.55410436 0.00781445 0.54959930 0.00784939 0.08178632 0.00084770 0.08073801 0.00073830
0.55545106 0.00701345 0.54150406 0.00719518 0.07790485 0.00097891 0.08354917 0.00107039
0.55448789 0.00836236 0.53763537 0.00832204 0.07889386 0.00093243 0.08112909 0.00131406
0.54513859 0.00801338 0.53872113 0.00771976 0.08048683 0.00101095 0.07533413 0.00113441
0.54134163 0.00749093 0.54726941 0.00826768 0.07894078 0.00134156 0.08301392 0.00075880
0.55730185 0.00778508 0.53937155 0.00817859 0.07960178 0.00113932 0.08039170 0.00088684
0.55170143 0.00882115 0.53433760 0.00810104 0.08070334 0.00084702 0.08152032 0.00086884
0.55052676 0.00868373 0.53503445 0.00896764 0.08169591 0.00096809 0.08022268 0.00058835
0.54877673 0.00672624 0.54115681 0.00807978 0.07863312 0.00109054 0.07965374 0.00130104
0.54612112 0.00719636 0.53814666 0.00630466 0.08312929 0.00085752 0.07963188 0.00092226
0.54769367 0.00792079 0.54208716 0.00746733 0.08023128 0.00108367 0.07965115 0.00117436
0.54457854 0.00579240 0.54591276 0.00848415 0.08223968 0.00102584 0.08097796 0.00102423
0.54766762 0.00980527 0.53215825 0.00869071 0.08023577 0.00077166 0.07830109 0.00113262
0.55131525 0.00718525 0.53257276 0.00625847 0.08027607 0.00121769 0.07987743 0.00097654
0.54901881 0.00850961 0.54895725 0.00919730 0.07952146 0.00105061 0.08263630 0.00121763
0.54825105 0.00522952 0.54579050 0.01037096 0.08349922 0.00098933 0.08134476 0.00088684
0.54386592 0.00691617 0.55227785 0.00896292 0.08267754 0.00091569 0.08321476 0.00095650
0.54876355 0.01045297 0.54405261 0.00686322 0.08110701 0.00148672 0.08017600 0.00090981
0.54920950 0.00724498 0.54498187 0.00761814 0.08221706 0.00086057 0.08325638 0.00118965
0.55332725 0.00865666 0.54253592 0.00913983 0.08094322 0.00126226 0.07879029 0.00100079
0.55528029 0.00601862 0.54210021 0.00749214 0.07973009 0.00075051 0.08113589 0.00100351
0.55174720 0.00957588 0.54408290 0.00963439 0.07975770 0.00104909 0.07882098 0.00108066
0.54820861 0.00817466 0.53416804 0.00750431 0.07957634 0.00110694 0.07786046 0.00102170
0.55269385 0.00832474 0.54717728 0.00878043 0.08134739 0.00079710 0.08277988 0.00104183
0.54881818 0.00796286 0.55802799 0.01020193 0.08166015 0.00139068 0.07925490 0.00104326
0.54637328 0.00706119 0.53592332 0.00925628 0.08416671 0.00114586 0.07996454 0.00101994
0.54516218 0.00823156 0.53645704 0.00522738 0.07746629 0.00095673 0.08164465 0.00078833
0.55352528 0.00890106 0.53911074 0.00445252 0.08226582 0.00098127 0.08284227 0.00118861
0.53186834 0.00933069 0.54079133 0.00729927 0.08064815 0.00120409 0.08013001 0.00084166
0.54600762 0.00903818 0.54139626 0.00825984 0.08072423 0.00103261 0.08005347 0.00115686
0.54726106 0.00882296 0.53957105 0.00825119 0.07873099 0.00099655 0.07905124 0.00134516
0.54970405 0.00760505 0.53954706 0.00774503 0.08037686 0.00115145 0.07896433 0.00095816
0.54173719 0.00812683 0.53923351 0.00587171 0.08660677 0.00101262 0.08016135 0.00116735
0.54118752 0.00934587 0.54039016 0.00580270 0.07890312 0.00133092 0.07958384 0.00085281
0.55040003 0.00650813 0.54275445 0.00890288 0.08094380 0.00096455 0.08059656 0.00080093
0.54968932 0.00946839 0.53856586 0.00835773 0.07916891 0.00099245 0.07982296 0.00083028
0.54307417 0.00689055 0.54226767 0.00838133 0.08174564 0.00105687 0.08086389 0.00076915
0.54431818 0.00783419 0.54721978 0.00708572 0.07948828 0.00103175 0.07996499 0.00081344
0.55374705 0.00652037 0.53965801 0.00807693 0.08027119 0.00087957 0.07660217 0.00103799
0.54406349 0.00651829 0.55619199 0.00735737 0.07800811 0.00098263 0.08112514 0.00082984
0.55213555 0.00820303 0.54954668 0.00862969 0.08052278 0.00108038 0.08084485 0.00111524
0.54009662 0.00687970 0.53969007 0.00854799 0.07997886 0.00097324 0.08095269 0.00097692
