vxy_mean vxy_std vyx_mean vyx_std e1max_mean e1max_std
0.41220000 0.02650000 0.42240000 0.03760000 1.61150000 0.00400000
0.39750000 0.02680000 0.42260000 0.03070000 1.71430000 0.00430000
0.41040000 0.02640000 0.41420000 0.03570000 1.62600000 0.00390000
0.41910000 0.02330000 0.40570000 0.03630000 1.69110000 0.00400000
0.40010000 0.02800000 0.41050000 0.03430000 2.02940000 0.00540000
0.42100000 0.02620000 0.42320000 0.03890000 1.73340000 0.00480000
0.41030000 0.02400000 0.41050000 0.03610000 1.70200000 0.00460000
0.40840000 0.02690000 0.40520000 0.03300000 1.84640000 0.00370000
0.39440000 0.02960000 0.40390000 0.03640000 1.61120000 0.00410000
0.40810000 0.02590000 0.41750000 0.03570000 1.63870000 0.00400000
0.42090000 0.02520000 0.42480000 0.03290000 1.70580000 0.00420000
0.40990000 0.02250000 0.41020000 0.03430000 2.09470000 0.00330000
0.40220000 0.02360000 0.41030000 0.03500000 1.68510000 0.00450000
0.40690000 0.02720000 0.42460000 0.03500000 1.65210000 0.00410000
0.40310000 0.02760000 0.39910000 0.03120000 1.57310000 0.00360000
0.40610000 0.02610000 0.40900000 0.03700000 1.58440000 0.00320000
0.40140000 0.02410000 0.40870000 0.03870000 1.63410000 0.00390000
0.39990000 0.02620000 0.40360000 0.03130000 1.77310000 0.00550000
0.41170000 0.02410000 0.40560000 0.03530000 1.74200000 0.00430000
0.40500000 0.02260000 0.41510000 0.03540000 1.69280000 0.00410000
0.41920000 0.02670000 0.41170000 0.03840000 2.09020000 0.00440000
0.39940000 0.02540000 0.40020000 0.03550000 1.71120000 0.00480000
0.39870000 0.02590000 0.42600000 0.03700000 1.76440000 0.00460000
0.41830000 0.02490000 0.40150000 0.03600000 1.97040000 0.00440000
0.40830000 0.02550000 0.39620000 0.03820000 2.32450000 0.00480000
0.40810000 0.02580000 0.41120000 0.03650000 1.89470000 0.00390000
0.41040000 0.02590000 0.41910000 0.03450000 2.13820000 0.00460000
0.41510000 0.02390000 0.40480000 0.03630000 1.85460000 0.00350000
0.41070000 0.02340000 0.41100000 0.03280000 2.20740000 0.00450000
0.39850000 0.02390000 0.40250000 0.03410000 1.78740000 0.00580000
0.39790000 0.02700000 0.40830000 0.03290000 2.28830000 0.00360000
0.41370000 0.02600000 0.40540000 0.03400000 1.75610000 0.00470000
0.41290000 0.02400000 0.40920000 0.03820000 1.69840000 0.00470000
0.40720000 0.02390000 0.40990000 0.03340000 1.77050000 0.00350000
0.39930000 0.02500000 0.40010000 0.03650000 1.98970000 0.00410000
0.40960000 0.02510000 0.41260000 0.03600000 1.75580000 0.00360000
0.40990000 0.02200000 0.39640000 0.03680000 2.01760000 0.00430000
0.40510000 0.02460000 0.40920000 0.03560000 1.90170000 0.00420000
0.40220000 0.02340000 0.41110000 0.03300000 2.01250000 0.00500000
0.40320000 0.02290000 0.39840000 0.03500000 2.14600000 0.00450000
0.40440000 0.02520000 0.41290000 0.03550000 1.84570000 0.00490000
0.40470000 0.02570000 0.41730000 0.03640000 2.46970000 0.00500000
0.39810000 0.02630000 0.41330000 0.03430000 1.65050000 0.00390000
0.42800000 0.02130000 0.40460000 0.03620000 1.93190000 0.00440000
0.40640000 0.02440000 0.41260000 0.03430000 1.88950000 0.00340000
